"SAGDP1 Gross Domestic Product (GDP) summary, annual by state"
"Current-dollar Gross Domestic Product (GDP) (Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"56000","Wyoming",37401.2,39370.7,38431.7,38922.5,39436.1,37721.5,35740.3,37453.6,39118.5,39646.2
"91000","New England",839958.3,857725.2,889223.3,907187.5,934408.3,983978.6,1010688.8,1042753.2,1088378.7,1135638.8
"92000","Mideast",2788427.9,2852655.9,2993044.9,3069981.2,3204147.9,3331916.8,3432411.5,3542824.2,3700763.3,3840213.8
"93000","Great Lakes",2080946.6,2167413.4,2252275.7,2324457.2,2426649.7,2513921.8,2572583.3,2650798.3,2771406.0,2861542.7
"94000","Plains",964315.6,1008777.1,1057845.4,1093825.6,1140136.0,1173227.0,1188719.8,1222157.3,1277868.0,1318247.1
"95000","Southeast",3239783.9,3324966.0,3431042.1,3537434.4,3673335.7,3844692.4,3962903.8,4126027.6,4333809.0,4517699.2
"96000","Southwest",1722307.3,1840829.1,1940752.8,2048478.5,2144752.3,2142503.9,2146680.0,2275762.8,2453659.3,2563205.6
"97000","Rocky Mountain",503727.4,525409.1,540442.4,565638.5,595284.5,617805.1,637479.2,674994.9,716384.2,751511.5
"98000","Far West",2748671.5,2853616.7,2979149.5,3124531.4,3294774.7,3504844.4,3650628.6,3870623.7,4121188.4,4318983.5
"Legend / Footnotes:"
"Last updated: April 7, 2020-- new statistics for 2019."
